Annotee_Identifier	Human_Readable_Description
FBpp0268972	zinc carboxypeptidase a
FBpp0249971	hydroxyacid oxoacid transhydrogenase
FBpp0249082	atp binding cassette sub family a member
FBpp0087517	gpi ethanolamine phosphate transferase
FBpp0235528	rrm domain containing protein
FBpp0255939	carbonic anhydrase
FBpp0193971	e3 ubiquitin protein ligase
FBpp0311138	sodium leak channel non selective protein
FBpp0152673	growth hormone regulated tbc protein 1 a
FBpp0198507	lim homeobox protein lhx x1
FBpp0231197	diphthine ammonia ligase
FBpp0161508	bifunctional peptidase and arginyl hydroxylase jmjd
FBpp0253131	centrosomal protein of kda
FBpp0204562	protein misato
FBpp0325226	vascular endothelial growth factor c
FBpp0236762	cytochrome c oxidase subunit 6a mitochondrial
FBpp0224647	carboxylesterase type b domain containing protein
FBpp0159095	chitinase protein idgf
FBpp0137239	augmin complex subunit dgt
FBpp0209065	alkaline phosphatase
FBpp0179997	negative elongation factor d
FBpp0231523	transcription factor ouib
FBpp0131508	unknown protein
FBpp0243213	hermansky pudlak syndrome protein
FBpp0131833	distal membrane arm assembly complex protein
FBpp0161656	rhythmically expressed gene protein
FBpp0146170	irregular chiasm c roughest protein
FBpp0133404	g protein coupled receptors family profile domain containing
FBpp0128118	androgen induced gene protein x1
FBpp0169646	histone deacetylase interacting domain containing protein
FBpp0184510	anoctamin
FBpp0261950	v type proton atpase subunit d
FBpp0264854	tbc domain family member
FBpp0219802	protein kinase domain containing
FBpp0319843	at30877p
GA12700-PA	crc domain containing protein
FBpp0152352	metalloendopeptidase
FBpp0150230	odorant binding protein 73a
FBpp0186577	dehydrogenase reductase sdr family member
FBpp0205935	u5 small nuclear ribonucleoprotein kda helicase
FBpp0227525	ist
FBpp0325183	lipase
FBpp0226323	aldehyde dehydrogenase nad +
FBpp0254110	peptidase s1 domain containing protein
FBpp0196523	maternal protein exuperantia
FBpp0290455	sulfatase n terminal domain containing protein
GA21660-PA	multidrug resistance associated protein lethal 2 03659
FBpp0209671	dynein light chain roadblock
FBpp0265104	facilitated trehalose transporter tret x1
FBpp0151123	duf 2428 domain containing protein
FBpp0111842	kn motif and ankyrin repeat domain containing protein
FBpp0162687	neuronal membrane glycoprotein m6 a
GA12594-PA	augmin complex subunit wac
FBpp0245315	drosophila melanogaster
FBpp0241081	beclin protein
FBpp0184727	zinc finger protein
FBpp0188813	e3 ubiquitin protein ligase cbl
FBpp0191702	very low density lipoprotein receptor
FBpp0195371	ribosomal protein s6 kinase
FBpp0252508	integrase catalytic domain containing protein
FBpp0315510	g protein coupled domain containing
FBpp0253353	sodium potassium transporting atpase subunit beta x1
FBpp0145480	gh
FBpp0087355	peroxisomal membrane protein 11c
FBpp0175760	madf domain containing protein
GA10003-PA	zp domain containing protein
FBpp0250892	vesicular inhibitory amino acid transporter
FBpp0262421	dolichyl diphosphooligosaccharide protein glycosyltransferase kda subunit
FBpp0265938	duf 4766 domain containing protein
FBpp0253242	histone h4
FBpp0180228	augmin complex subunit wac
FBpp0133107	modifier of mod mdg 0
FBpp0172139	protein set
FBpp0181805	larval cuticle protein
FBpp0190832	rna binding protein x2
FBpp0232701	chymotrypsin protease ctrl
FBpp0182639	zinc finger fyve domain containing protein
FBpp0262943	gl
FBpp0126324	endonuclease
FBpp0313962	galactosylgalactosylxylosylprotein 3 beta glucuronosyltransferase
FBpp0149756	tyramine octopamine receptor
FBpp0125515	duf 4766 domain containing protein
FBpp0144345	mif4g domain containing protein
FBpp0120816	mitogen activated protein kinase
FBpp0215517	dependent peroxiredoxin
FBpp0078583	octanoyl [acyl carrier protein] n octanoyltransferase lipt mitochondrial
FBpp0183447	v type proton atpase subunit h x1
FBpp0134913	c2h2 type domain containing protein
FBpp0154678	duf 753 domain containing protein
GA15795-PA	arfgap with sh domain ank repeat and ph containing protein
FBpp0233298	ribosomal rna processing protein conserved domain containing
FBpp0133785	band protein agap
FBpp0218986	fam family protein cg x1
FBpp0266201	mediator of rna polymerase ii transcription subunit
FBpp0238562	lipase domain containing protein
FBpp0207933	wide awake
FBpp0128860	osiris
FBpp0205057	rad sumo domain containing protein
FBpp0263885	rrna processing protein fcf
FBpp0218407	odorant binding protein 93a 1
FBpp0321820	non specific serine threonine protein kinase
FBpp0146438	platelet activating factor acetylhydrolase ib subunit beta
FBpp0167001	cral trio domain containing protein
FBpp0265137	bumetanide sensitive sodium potassium chloride cotransporter
FBpp0170928	ccr not transcription complex subunit
GA20265-PA	partial ab hydrolase lipase domain containing protein
FBpp0290170	marvel domain containing protein
FBpp0247460	protein shuttle craft
FBpp0177308	protein lethal 2 denticleless
FBpp0134220	fat body protein
FBpp0169516	lipopolysaccharide induced tumor necrosis factor alpha
FBpp0218358	transient receptor potential channel pyrexia x1
FBpp0235956	rna binding protein fusilli x1
FBpp0259861	leucine trna ligase
FBpp0323141	cytoplasmic dynein heavy chain
FBpp0270279	eclosion hormone
FBpp0111465	procollagen proline 4 dioxygenase
FBpp0075591	tetratricopeptide repeat protein
FBpp0151922	carbonic anhydrase
FBpp0244952	c2 domain containing protein
FBpp0227804	cg
FBpp0156425	talin x1
FBpp0147506	gustatory receptor
FBpp0263144	g protein coupled receptors family profile domain containing
FBpp0144590	acyl coa binding domain containing protein
GA13982-PA	kinesin protein
FBpp0199886	facilitated trehalose transporter tret
FBpp0242860	pre mrna splicing factor
FBpp0228796	vesicle transport protein sec
FBpp0179286	dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex
FBpp0183256	atp dependent clp protease proteolytic subunit
FBpp0194674	gm
FBpp0261323	peptidase c19 ubiquitin carboxyl terminal hydrolase domain containing protein
FBpp0265320	chitin binding type domain containing protein
FBpp0257367	gustatory receptor
FBpp0133235	myelin transcription factor protein
FBpp0142760	gd
FBpp0150394	ab hydrolase domain containing protein
FBpp0148468	fha domain containing protein
FBpp0174028	aftiphilin clathrin binding box domain containing protein
FBpp0212243	epidermal growth factor protein
FBpp0258433	tafazzin protein
FBpp0193041	tbc domain family member b x3
FBpp0148000	mediator of rna polymerase ii transcription subunit x2
FBpp0162598	large ribosomal subunit protein ml
FBpp0263160	ataxin c terminal domain containing protein
FBpp0135980	leishmanolysin peptidase
FBpp0184985	mitogen activated protein kinase 13
FBpp0254807	mage protein
FBpp0147550	coiled coil domain containing protein
GA19636-PA	protein hairy
FBpp0148564	gh
FBpp0173662	alkaline phosphatase
FBpp0138644	odorant binding protein 58c
FBpp0087464	c2h2 type domain containing protein
FBpp0083976	nucleolysin tiar x1
FBpp0149456	protein tipe x2
FBpp0193645	stearoyl coa desaturase
FBpp0211868	rrm domain containing protein
FBpp0118590	duf 4794 domain containing protein
FBpp0314722	phosphatidylinositol 3 4 5 trisphosphate phosphatase and dual specificity protein pten
FBpp0154963	c3h1 type domain containing protein
FBpp0154356	mbd domain containing protein
FBpp0265818	protein nervous wreck
FBpp0137683	c2h2 type domain containing protein
FBpp0073800	glucose methanol choline oxidoreductase n terminal domain containing protein
FBpp0135596	major royal jelly protein
FBpp0160117	katanin p80 wd repeat containing subunit b1
FBpp0140592	cilia and flagella associated protein
FBpp0148555	protein tanc x1
FBpp0154099	homeobox domain containing protein
FBpp0225059	transcription factor kayak
FBpp0258562	sun domain containing ossification factor
FBpp0248830	nsfl cofactor p47
FBpp0234173	transcription factor cbf nf y archaeal histone domain containing protein
FBpp0225979	nhr domain containing protein
FBpp0259050	a
FBpp0232326	mh domain containing protein
FBpp0292199	potassium channel subfamily t member
FBpp0201172	adenylate cyclase
FBpp0111444	deltamethrin resistance protein prag domain containing
FBpp0250818	homeotic protein distal less
FBpp0120256	fatty acyl coa reductase
FBpp0237002	histone h3
FBpp0189257	protein lifeguard
FBpp0192683	phenylalanine trna ligase
FBpp0259758	vacuolar protein sorting associated
GA21018-PA	enhancer of split m7 protein
FBpp0213812	kazal domain containing protein
FBpp0224605	n acetyltransferase domain containing protein
FBpp0084272	ras associating domain containing protein
FBpp0204091	cytochrome p450
FBpp0245741	hmg box domain containing protein
FBpp0251560	phosphatidylglycerophosphatase and protein tyrosine phosphatase
GA10017-PA	endoplasmic reticulum resident protein
FBpp0183335	mtor associated protein meak
FBpp0236481	3 hydroxyisobutyrate dehydrogenase
FBpp0210117	inorganic phosphate cotransporter
FBpp0085719	ima n terminal domain containing protein
FBpp0161141	huntingtin interacting protein 1
FBpp0174935	eukaryotic translation initiation factor subunit m
FBpp0188592	btb domain containing protein
FBpp0264444	actin 42a
FBpp0229335	lim domain transcription factor lmo
FBpp0123882	down syndrome cell adhesion molecule protein dscam x1
FBpp0258565	transmembrane protein 39a
FBpp0136210	methylated diphthine methylhydrolase
FBpp0116258	marvel domain containing protein
FBpp0162560	madf domain containing protein
FBpp0240990	rpb
FBpp0175800	homeobox protein prospero
GA12662-PA	protein sickie
FBpp0328897	duf 4219 domain containing protein
FBpp0143743	a kinase anchor protein 10 mitochondrial
FBpp0252456	hybrid male rescue protein
FBpp0153502	sosie protein
FBpp0153214	hematopoietically expressed homeobox protein hhex
FBpp0235678	sulfotransferase domain containing protein
FBpp0121019	rrp protein
FBpp0203945	maelstrom protein
FBpp0309021	mastermind protein
FBpp0176379	solute carrier family member b1
GA19848-PA	endoplasmic reticulum lectin
FBpp0168198	kh domain containing rna binding signal transduction associated protein
FBpp0113878	ribosome recycling factor domain containing protein
FBpp0137114	cas1p tm acyl transferase domain containing protein
FBpp0074285	3 hydroxyacyl coa dehydrogenase type
FBpp0240632	ammecr domain containing protein
FBpp0263843	amino acid transporter
FBpp0153717	gastrula zinc finger protein x2
FBpp0184557	serotonin transporter
FBpp0253141	chemosensory protein a 84a
FBpp0181948	gl
FBpp0216497	alpha carbonic anhydrase protein
FBpp0312816	virilizer n terminal domain containing protein
FBpp0213160	procollagen proline 4 dioxygenase
FBpp0252336	28s ribosomal protein s17 mitochondrial
FBpp0312986	vesicle associated membrane protein x2
FBpp0239103	metalloendopeptidase
FBpp0208145	gm
FBpp0159964	microtubule associated protein
FBpp0199070	programmed cell death protein
FBpp0217534	trna cytidine 32 34 2 o methyltransferase
FBpp0267641	sodium coupled neutral amino acid transporter
FBpp0244446	alpha aminoadipic semialdehyde synthase mitochondrial
FBpp0200211	cytochrome c oxidase subunit 7c mitochondrial
FBpp0162570	cell division cycle protein
FBpp0174336	s adenosylmethionine sensor upstream of mtorc
FBpp0240017	md lipid recognition domain containing protein
FBpp0086222	p element somatic inhibitor
FBpp0179123	ribonuclease p protein subunit p20
FBpp0179295	gl
FBpp0087004	adenylate kinase isoenzyme
FBpp0263195	n acetylgalactosaminide beta galactosyltransferase
FBpp0077926	cub domain containing protein
FBpp0266143	leucine carboxyl methyltransferase
FBpp0220650	myosin ia
FBpp0190000	pld phosphodiesterase domain containing protein
FBpp0131372	polymerase delta interacting protein 2
FBpp0232011	protein sister of odd and bowel
FBpp0240412	pp2c domain containing protein cg
FBpp0174534	gamma soluble nsf attachment protein
FBpp0132660	nucleolar protein
FBpp0194498	paired box protein pax x1
FBpp0212299	ubiquitin carboxyl terminal hydrolase
FBpp0242289	superoxide dismutase copper zinc binding domain containing protein
FBpp0166468	histone h3
FBpp0138412	scavenger receptor class b member x1
FBpp0241098	dna primase
FBpp0084698	endothelin converting enzyme
FBpp0193893	gl
FBpp0158665	gh
FBpp0074714	glycosylphosphatidylinositol anchor biosynthesis protein
FBpp0231105	cytochrome c oxidase assembly factor 7
FBpp0194362	procollagen proline 4 dioxygenase
FBpp0087887	pdz domain containing protein gipc
FBpp0161033	glycerophosphocholine phosphodiesterase gpcpd x2
FBpp0152969	clip domain containing protein
FBpp0082952	zinc finger and protein
FBpp0168913	duf 4766 domain containing protein
GA20602-PA	coiled coil domain containing protein
FBpp0203492	sidestep viii
FBpp0317930	drosophila melanogaster
FBpp0246977	v type proton atpase subunit
FBpp0241775	chitin binding type domain containing protein
GA15163-PA	cg
FBpp0133306	parafibromin
FBpp0194377	serpin domain containing protein
FBpp0180356	eukaryotic translation initiation factor subunit f 2
GA18337-PA	protein them
FBpp0132275	ring type domain containing protein
FBpp0143692	anoctamin
FBpp0169488	transcription factor tfiiic triple barrel domain containing protein
FBpp0236391	pdz domain containing protein
FBpp0423270	seminal fluid protein
FBpp0256963	immune induced peptide
FBpp0084312	protein fam98b
FBpp0149739	dna binding protein d ets
FBpp0206781	btb poz domain containing protein
FBpp0136421	discontinuous actin hexagon
FBpp0213189	misexpression suppressor of ras 6
FBpp0224531	e3 ubiquitin protein ligase
FBpp0132942	dna polymerase
FBpp0140097	alpha methylacyl coa racemase
GA12817-PA	solute carrier family protein
FBpp0124886	ring finger protein 11
FBpp0134734	t snare coiled coil homology domain containing protein
FBpp0172428	ets protein pointed
FBpp0173104	bpti kunitz inhibitor domain containing protein
FBpp0234536	gdp l fucose synthase
FBpp0178918	homeotic protein female sterile
FBpp0203518	duf 4766 domain containing protein
FBpp0140988	eukaryotic translation initiation factor subunit m
FBpp0133113	wd repeat containing protein
FBpp0207663	gamma soluble nsf attachment protein
FBpp0195429	drbm domain containing protein
FBpp0151444	keratin type i cytoskeletal
FBpp0135718	nadp dependent oxidoreductase domain containing protein
FBpp0168961	glycolipid transfer protein domain containing
FBpp0197481	non specific serine threonine protein kinase
FBpp0201227	leucine rich repeat protein soc
FBpp0122943	eukaryotic translation initiation factor 5a
FBpp0313731	cyclin dependent kinase 2 associated protein
FBpp0327633	centrosomal protein cep
FBpp0232188	homeobox protein aristaless
FBpp0153707	jabba b
FBpp0152212	ionotropic glutamate receptor and domain containing protein
FBpp0239236	leucine rich repeat containing protein
FBpp0141601	envelope protein
FBpp0083194	major facilitator superfamily mfs profile domain containing protein
FBpp0231780	tpx c terminal domain containing protein
FBpp0154354	protein tsetseep domain containing
FBpp0205248	succinate coa ligase [adp forming] subunit beta mitochondrial
FBpp0239248	methoprene tolerant
FBpp0262980	unknown protein
FBpp0238331	trna adenine 58 n 1 methyltransferase
FBpp0073483	cuticle protein
FBpp0129988	gg
FBpp0203889	eukaryotic translation initiation factor 2a
FBpp0320182	runt domain containing protein
FBpp0234196	protein germ cell less
FBpp0270692	cyclin dependent kinase
FBpp0312941	mothers against decapentaplegic
FBpp0256773	protein clueless
FBpp0184469	zinc finger and domain containing protein
FBpp0183766	sulfatase n terminal domain containing protein
FBpp0315947	chitin binding type domain containing protein
FBpp0199069	mi domain containing protein
FBpp0289681	type angiotensin ii receptor associated protein
FBpp0265943	large ribosomal subunit protein ul n terminal domain containing
FBpp0217703	major facilitator superfamily mfs profile domain containing protein
FBpp0143083	peptidase s1 domain containing protein
FBpp0238306	exocyst complex component sec
FBpp0255639	interference hedgehog
FBpp0206110	hsp nucleotide exchange factor fes
FBpp0167154	arrestin c terminal domain containing protein
FBpp0207245	kelch protein diablo
FBpp0131539	at23003p
FBpp0172068	xaa pro aminopeptidase
FBpp0297352	protein furry
FBpp0228301	pupal cuticle protein edg 78e
FBpp0150023	cyclin j
FBpp0168892	drosophila melanogaster
FBpp0117865	peptidylprolyl isomerase
FBpp0159391	protein neuralized x1
FBpp0205341	leishmanolysin peptidase
FBpp0221075	bess domain containing protein
FBpp0241729	cg
FBpp0269126	odorant binding protein 83ef
FBpp0189800	gl
FBpp0260660	peptidase s1 domain containing protein
FBpp0137018	non specific serine threonine protein kinase
FBpp0228201	tethering factor for nuclear proteasome sts
FBpp0292515	mitotic spindle organizing protein
FBpp0177428	nadh dehydrogenase
FBpp0117786	neuropeptide
FBpp0201809	scp domain containing protein
FBpp0215453	cytochrome p450 28c1
FBpp0192104	glutamate
FBpp0186643	deoxyhypusine synthase
FBpp0243523	cuticle protein
FBpp0201354	jabba
FBpp0121689	methionine synthase reductase
FBpp0183853	protein phosphatase inhibitor
FBpp0253896	n acetylgalactosaminide beta galactosyltransferase
FBpp0209615	imaginal disk growth factor
GA14598-PA	enolase
FBpp0120547	carboxypeptidase
FBpp0160746	chitin binding type domain containing protein
FBpp0079710	nuclear pore complex protein
FBpp0205695	drosophila melanogaster
FBpp0152348	bromodomain containing protein
FBpp0138675	protein chiffon
FBpp0230247	cytochrome c oxidase subunit
FBpp0245054	zinc finger mynd domain containing protein
FBpp0267566	1 acyl sn glycerol phosphate acyltransferase gamma
FBpp0259597	x box binding protein
FBpp0199207	chk kinase domain containing protein
FBpp0154965	major facilitator superfamily domain containing protein 6
FBpp0137445	insulin growth factor mrna binding protein
FBpp0148764	cuticle protein
FBpp0205650	serine aspartate repeat containing protein f
FBpp0131568	histone h2a
FBpp0156843	serine threonine kinase receptor associated protein
FBpp0081493	beta catenin protein n terminal domain containing
FBpp0186013	distal antenna protein
FBpp0178448	large ribosomal subunit protein el
FBpp0180015	large ribosomal subunit protein el
FBpp0191347	gl
FBpp0205664	trichohyalin plectin homology domain containing protein
FBpp0326132	succinate hydroxymethylglutarate coa transferase
GA16634-PA	serine rich adhesin for platelets
FBpp0221503	peptidase a1 domain containing protein
FBpp0239089	protein fam98b
FBpp0078336	inositol 1 4 5 trisphosphate receptor
FBpp0165579	ring ch type domain containing protein
GA19166-PA	fi04548p
FBpp0226739	alpha carbonic anhydrase domain containing protein
FBpp0185799	ferm and pdz domain containing protein
GA13257-PA	exonuclease domain containing protein
FBpp0142957	bpti kunitz inhibitor domain containing protein
FBpp0261786	axh domain containing protein
FBpp0205596	serine arginine protein x3
FBpp0198711	restin
FBpp0193763	polypeptide n acetylgalactosaminyltransferase
FBpp0123922	protein phosphatase 1b
FBpp0150806	gsk beta interaction protein
FBpp0190013	cytosolic non specific dipeptidase
FBpp0232902	enhancer of yellow transcription factor
FBpp0124473	proton channel otoplc
FBpp0075386	glycine trna ligase
FBpp0131792	pupal cuticle protein edg 78e
FBpp0165514	g protein coupled receptors family profile domain containing
FBpp0070071	achaete scute complex protein t5
FBpp0253420	inhibin beta a chain
FBpp0262354	cg pa
FBpp0189603	gh
GA19304-PA	gh
FBpp0317446	duf 4777 domain containing protein
FBpp0264192	ankyrin repeat sam and basic leucine zipper domain containing protein
FBpp0075534	g patch domain containing protein
FBpp0258020	alpha l iduronidase
FBpp0185460	ceramide synthase
FBpp0187529	luciferin 4 monooxygenase
FBpp0323015	unknown protein
FBpp0183519	protein c10
FBpp0176825	aaa+ atpase domain containing protein
FBpp0136414	metaxin protein
FBpp0165124	protein aster b
FBpp0206637	morn repeat containing protein
FBpp0237550	vps c terminal domain containing protein
FBpp0192261	microtubule associated protein futsch
FBpp0246191	g protein coupled receptors family profile domain containing
FBpp0115352	glutathione s transferase
FBpp0144072	protein serac
FBpp0175878	acyl coenzyme a oxidase
FBpp0166160	pou domain class transcription factor
FBpp0246034	40s ribosomal protein s30
FBpp0199144	mushroom body defect protein
FBpp0227496	tetraspanin
FBpp0154163	sodium coupled neutral amino acid transporter
FBpp0119343	fe2og dioxygenase domain containing protein
FBpp0141301	keratin type i cytoskeletal
FBpp0147240	voltage dependent anion selective channel protein
FBpp0183006	protein wnt
FBpp0244309	odorant receptor
FBpp0305659	zad domain containing protein
FBpp0184349	protein tyrosine sulfotransferase
FBpp0240647	omega amidase
FBpp0261605	d beta hydroxybutyrate dehydrogenase mitochondrial
FBpp0225681	mab hhh h2th domain containing protein
FBpp0220474	irp domain containing protein
FBpp0167902	pou domain 3
FBpp0147296	initiation factor subunit x1
FBpp0070814	ras protein rab
GA19902-PA	large ribosomal subunit protein ul
FBpp0081447	abasic site processing protein hmces
FBpp0232942	importin domain containing protein
FBpp0315678	madf domain containing protein
FBpp0137277	cg pa
FBpp0114168	gd
FBpp0157389	ionotropic glutamate receptor c terminal domain containing protein
FBpp0185416	udp xylose and n acetylglucosamine transporter
GA15401-PA	eef1a lysine and n terminal methyltransferase
FBpp0084965	zinc finger and domain containing protein
FBpp0128493	thioredoxin domain containing protein
FBpp0235036	c2h2 type domain containing protein
FBpp0201481	alpha amylase
FBpp0169594	binding protein anillin x1
FBpp0237563	immune induced peptide
FBpp0243963	laminin subunit beta
FBpp0189129	pupal cuticle protein edg 78e
FBpp0269231	dna directed rna polymerase subunit beta
FBpp0160467	integrase domain containing protein
GA19273-PA	glutaminyl peptide cyclotransferase
FBpp0162090	wd repeat containing protein
FBpp0119645	chitin binding type domain containing protein
FBpp0234314	gpi ethanolamine phosphate transferase
FBpp0175839	heterogeneous nuclear ribonucleoprotein l
FBpp0244066	transcription factor cbf nf y archaeal histone domain containing protein
FBpp0250515	laccase x4
FBpp0080739	parkin coregulated gene protein
FBpp0173414	pickpocket 20
FBpp0183511	vesicle associated membrane protein
FBpp0200461	ataxin x1
FBpp0182120	cuticle protein
FBpp0204943	solute carrier family member
FBpp0310083	scp domain containing protein
FBpp0172636	transcription factor sp
FBpp0261598	peptidase a1 domain containing protein
FBpp0263094	golgi associated plant pathogenesis protein
FBpp0270334	drosophila melanogaster
FBpp0140779	myb domain containing protein
FBpp0186509	ig domain containing protein
FBpp0255529	peptidase s1 domain containing protein
FBpp0171968	4 hydroxybenzoate polyprenyltransferase mitochondrial
FBpp0248228	ring type domain containing protein
FBpp0303444	ww and pdz domain containing protein
FBpp0171373	expera domain containing protein
FBpp0218864	nascent polypeptide associated complex subunit alpha uba domain containing protein
FBpp0239365	peptidase c19 ubiquitin carboxyl terminal hydrolase domain containing protein
FBpp0203840	duf 4729 domain containing protein
FBpp0127713	containing protein crim
GA13284-PA	wd repeat containing protein
GA18638-PA	cyclin dependent kinase 4
FBpp0110594	sarcolemmal membrane associated protein
FBpp0183708	protein brunelleschi
FBpp0190306	protein cup
FBpp0193718	signal peptidase complex subunit
FBpp0119222	mitochondrial import inner membrane translocase subunit tim
FBpp0133395	odorant binding protein 93a 1
FBpp0229381	secreted protein
FBpp0261271	androgen induced gene protein x3
FBpp0080749	alpha tocopherol transfer protein
FBpp0156194	btb poz domain containing protein kctd
FBpp0223795	death domain containing protein
FBpp0256619	protein arginine n methyltransferase
FBpp0120044	g protein coupled receptors family profile domain containing
FBpp0185638	gl
FBpp0162649	single pass membrane and coiled coil domain containing protein
FBpp0193879	dna repair protein xrcc
FBpp0246094	serine protease inhibitor 77ba
FBpp0247070	skin secretory protein xp
FBpp0153116	dependent malic enzyme
FBpp0167475	death domain containing protein
FBpp0229055	trna adenine 58 n 1 methyltransferase non catalytic subunit trm
FBpp0131782	gl
FBpp0249783	stimulator of interferon genes protein
FBpp0212487	rab gtpase activating protein
FBpp0136524	60s ribosomal protein l3 x1
FBpp0150375	fggy carbohydrate kinase domain containing protein
FBpp0145077	syntaxin n terminal domain containing protein
FBpp0139419	sodium dependent multivitamin transporter
FBpp0244314	vicilin seed storage protein
FBpp0161573	major facilitator superfamily domain containing protein
GA20024-PA	60s ribosome subunit biogenesis protein nip
GA10609-PA	rrm domain containing protein
FBpp0173073	28s ribosomal protein s11 mitochondrial
GA19659-PA	finger domain containing protein
FBpp0193001	breast cancer metastasis suppressor protein a
FBpp0187625	n alpha acetyltransferase
FBpp0187958	phosphatidate cytidylyltransferase mitochondrial
FBpp0151608	trna guanine n 7 methyltransferase non catalytic subunit wuho
GA19130-PA	multidrug resistance associated protein
FBpp0226081	chitin binding type domain containing protein
FBpp0184313	ionotropic glutamate receptor c terminal domain containing protein
FBpp0242302	large ribosomal subunit protein el
FBpp0325431	protein lethal 3 malignant blood neoplasm
FBpp0216675	solute carrier family member
FBpp0226926	multiple wing hairs
FBpp0154436	sodium potassium transporting atpase subunit alpha
FBpp0243453	myotubularin protein
FBpp0261863	ap complex subunit beta protein
FBpp0152389	mrna m 6 a methyltransferase
FBpp0079636	phd type domain containing protein
FBpp0080513	mitochondrial pyruvate carrier
FBpp0165557	negative elongation factor b
FBpp0116057	atpase n2b
FBpp0194043	luc protein
FBpp0254711	cg pa
FBpp0164319	e3 ubiquitin protein ligase ppp1r11
FBpp0259318	cg pa
FBpp0269909	dephospho coa kinase protein
FBpp0228789	duf 4794 domain containing protein
FBpp0266196	large ribosomal subunit protein ml
FBpp0208344	rrna methyltransferase 2 mitochondrial
FBpp0156655	casein kinase ii subunit beta
FBpp0314305	vwfd domain containing protein
FBpp0114020	cytochrome p450 312a1
FBpp0172279	gpn loop gtpase
FBpp0233318	mitochondrial import inner membrane translocase subunit tim
FBpp0178858	transcription initiation factor tfiid subunit
FBpp0196502	protein daughter of sevenless
FBpp0223351	md lipid recognition domain containing protein
FBpp0191541	cytochrome c oxidase assembly factor 7
FBpp0121188	glutamate receptor ionotropic kainate
FBpp0231275	nadh dehydrogenase [ubiquinone] beta subcomplex subunit
FBpp0241226	unknown protein
FBpp0270866	tether containing ubx domain for glut
FBpp0231230	keratin associated protein
FBpp0247095	microtubule actin cross linking factor
FBpp0250913	g protein pathway suppressor x1
FBpp0230677	udp glucuronosyltransferase
FBpp0071903	cchc type zinc finger protein
FBpp0207760	maternal protein pumilio
FBpp0196723	adenosine 3 phospho 5 phosphosulfate transporter
FBpp0261390	cg
FBpp0180779	gl
FBpp0091115	histone h2b
FBpp0072130	regulator of nonsense transcripts 3a
GA17157-PA	btb poz domain containing protein kctd
FBpp0317294	single domain containing protein
FBpp0268279	er membrane protein complex subunit
FBpp0264922	micos complex subunit mic
FBpp0132137	four and a half lim domains protein x7
FBpp0118859	protein bunched class 1 3 d e isoforms
FBpp0252664	e3 ubiquitin protein ligase
FBpp0154957	polycomb protein pcl
GA21335-PA	general odorant binding protein lush
FBpp0185137	gl
FBpp0137715	histidine trna ligase
FBpp0163624	mitogen activated protein kinase
FBpp0204695	gm
FBpp0075868	nadp dependent oxidoreductase domain containing protein
FBpp0181371	glutathione transferase
FBpp0205992	homeobox domain containing protein
FBpp0143527	down syndrome cell adhesion molecule protein dscam x1
FBpp0232225	thioester containing protein
FBpp0263387	growth factor pdgf protein
FBpp0318426	lysosome associated membrane glycoprotein
FBpp0253705	ben domain containing protein
GA15261-PA	zinc finger and domain containing protein
FBpp0146667	potassium voltage gated channel protein eag
FBpp0197244	cathepsin propeptide inhibitor domain containing protein
FBpp0119324	peptidase s1 domain containing protein
FBpp0327717	cide n domain containing protein
FBpp0149883	mab hhh h2th domain containing protein
FBpp0158244	protein yellow
FBpp0202123	serine protease filzig x1
FBpp0266427	clip domain containing serine protease
FBpp0256479	ccaat enhancer binding protein
GA20647-PA	dolichyl phosphate beta glucosyltransferase
FBpp0203171	drosophila melanogaster
FBpp0117549	raw
FBpp0238989	n acetyltransferase domain containing protein
FBpp0250969	ribosome assembly factor mrt
FBpp0158399	alanine transaminase
FBpp0193173	gm
FBpp0177761	acid glucosylceramidase
FBpp0151600	transmembrane protein
FBpp0144693	sodium potassium transporting atpase subunit beta
FBpp0183634	male sterile 3 76ba
FBpp0144712	bed type domain containing protein
FBpp0245417	puff specific protein bx
FBpp0118722	unconventional myosin ixb
FBpp0130382	rho gtpase activating protein 100f
FBpp0234278	myocyte specific enhancer factor
FBpp0247052	lipoyltransferase 1 mitochondrial
FBpp0114437	mitochondrial proton calcium exchanger protein
FBpp0401565	protein timeless x1
FBpp0188516	beta galactosyltransferase
FBpp0289959	zinc finger protein xfin
FBpp0245357	non specific serine threonine protein kinase
FBpp0134851	e2 ubiquitin conjugating enzyme
FBpp0225415	rho gtpase activating protein 92b
FBpp0246405	protein scai x1
FBpp0121696	desaturase f delta
FBpp0142526	peroxidasin
FBpp0151864	vacuolar protein sorting associated
FBpp0175407	disintegrin and metalloproteinase domain containing protein unc
FBpp0203990	membrane associated progesterone receptor component
FBpp0175513	28s ribosomal protein s36 mitochondrial
FBpp0186284	glycerophosphodiester phosphodiesterase
FBpp0204935	non specific serine threonine protein kinase
FBpp0154846	zinc finger protein jing x1
FBpp0235241	zinc finger mynd domain containing protein
GA13597-PA	secreted protein
FBpp0142584	lachesin x1
FBpp0196081	gd
FBpp0251568	unknown protein
FBpp0207578	sodium coupled monocarboxylate transporter
FBpp0182789	fork head domain transcription factor slp
FBpp0158087	bah domain containing protein
FBpp0130943	transcription initiation factor iia subunit
