Annotee_Identifier	Human_Readable_Description
CARHR248000.3	ras protein rab 1b
AT5G64250.2	nitronate monooxygenase
CARHR090810.2	signal peptidase complex catalytic subunit
CARHR231370.1	sun domain containing protein
AT5G44980.2	f box fbd protein
CARHR173160.1	pentatricopeptide repeat containing protein
CARHR181060.1	outer envelope pore protein 24 chloroplastic
AT1G12140.2	flavin containing monooxygenase fmo gs ox
CARHR282530.1	nad p h quinone oxidoreductase subunit chloroplastic
CARHR000660.2	asparagine trna ligase
AT2G48130.2	non specific lipid transfer protein gpi anchored
AT2G01730.2	integrator complex subunit
AT4G34930.1	1 phosphatidylinositol phosphodiesterase
AT2G14635.1	protein arabidillo
AT5G24340.2	bifunctional 3 5 exonuclease
CARHR069510.1	unknown protein
CARHR064930.1	protein nrt ptr family
CARHR138080.2	amine oxidase [flavin containing] b
CARHR234820.1	kinesin protein kin
AT3G59060.1	bhlh transcription factor
CARHR108410.3	transcription associated protein
CARHR127600.1	lysm domain receptor kinase
AT5G62640.3	protein early flowering
AT5G11690.1	mitochondrial import inner membrane translocase subunit tim
CARHR083010.1	ubiquitin conjugating enzyme e2 16
CARHR094660.1	ceramide synthase loh
CARHR110720.1	tetraspanin
AT1G09570.4	phytochrome a 2
AT4G32850.3	nuclear poly a polymerase
CARHR029740.1	pectate lyase
CARHR191960.2	thermosome subunit beta
CARHR187850.2	dnaj subfamily b member
CARHR280540.1	transcription factor pif
CARHR284170.3	protein fam135a
CARHR034320.1	exocyst complex component
CARHR184000.1	heavy metal associated isoprenylated plant protein
CARHR076550.1	lob domain containing protein
CARHR266650.1	oligopeptide transporter
AT3G09405.2	pectin acetylesterase
AT3G60750.1	transketolase
CARHR286050.1	f box protein
AT4G36960.1	heterogeneous nuclear ribonucleoprotein a1
AT3G09150.3	phytochromobilin ferredoxin oxidoreductase chloroplastic
AT1G51860.1	induced receptor serine threonine protein kinase
AT1G50950.2	endoplasmic reticulum golgi intermediate compartment protein
AT3G26560.1	pre mrna splicing factor atp dependent rna helicase protein
CARHR005200.1	limonoid udp glucosyltransferase
AT1G74390.1	protein nen
AT5G18860.2	nucleoside hydrolase
AT5G22080.1	dnaj subfamily c member 27
AT4G00060.4	canonical poly a rna polymerase protein
AT1G08460.1	histone deacetylase
CARHR135940.1	stomatal closure actin binding protein
CARHR276550.1	ylp motif containing protein
CARHR144320.2	microtubule associated protein
CARHR074350.1	polygalacturonase
CARHR114220.3	amino acid acetyltransferase
AT2G28890.1	protein phosphatase 2c
CARHR209470.1	xylogalacturonan beta xylosyltransferase
CARHR284700.1	cationic peroxidase
CARHR209030.1	ovarian tumor domain containing deubiquitinating enzyme
AT1G51370.3	f box fbd protein
AT1G55010.1	defensin protein
AT3G16150.1	isoaspartyl peptidase l asparaginase
AT3G58920.1	f box protein
AT1G64930.1	cytochrome p450
AT1G19360.2	arabinosyltransferase rra
CARHR019300.2	cyclin dependent kinase c 1
CARHR059120.1	leaf rust disease resistance locus receptor protein kinase
CARHR066980.1	protein angel
CARHR157170.2	phosphoglycolate phosphatase chromosomal
AT3G57380.3	egf domain specific o linked n acetylglucosamine transferase
CARHR225160.3	poly rc binding protein
CARHR231940.2	agamous mads box protein agl
CARHR040670.1	phd and ring finger domain containing protein
AT3G46060.2	ras protein rab 8a
AT1G26780.1	transcription factor myb
AT3G01390.4	v type proton atpase subunit
CARHR211500.1	protein nrt ptr family
CARHR224300.1	bax inhibitor
AT5G59270.1	l type lectin domain containing receptor kinase 3
CARHR069540.1	ribonuclease p protein subunit p25
CARHR060270.1	signal recognition particle subunit srp
AT2G25840.1	tryptophan trna ligase
AT1G52690.1	late embryogenesis abundant protein
CARHR066030.1	protein lpa
AT3G17850.1	microtubule associated serine threonine protein kinase
AT2G41445.4	agamous mads box protein agl
CARHR112300.1	protein shi sequence
ATCG00890.1	nad p h quinone oxidoreductase subunit 2 chloroplastic
CARHR000380.1	pentatricopeptide repeat containing protein
AT5G66450.4	lipid phosphate phosphatase epsilon 1 chloroplastic
AT4G31790.1	diphthine synthase
AT1G22910.1	glycine rich rna binding protein 2
AT5G41350.3	e3 ubiquitin protein ligase rnf
AT5G38690.1	cell division cycle associated protein
AT1G08730.1	unconventional myosin
AT1G48650.2	atp dependent rna helicase dhx
AT5G05370.1	cytochrome b c1 complex subunit 8 1
AT4G23420.2	short chain dehydrogenase 32 chloroplastic
AT2G38920.5	e3 ubiquitin protein ligase
AT3G12220.2	serine carboxypeptidase
CARHR196330.2	syntaxin
AT1G05660.1	polygalacturonase
AT3G54320.5	ap ethylene responsive transcription factor
AT5G02860.4	pentatricopeptide repeat containing protein
AT1G44110.1	cyclin a1 1
CARHR093900.1	histone deacetylase
AT2G28560.2	dna repair and recombination protein radb
AT5G15240.2	amino acid transporter
AT2G45210.1	auxin protein
CARHR038570.1	transcription initiation factor tfiid subunit
AT1G07725.1	exocyst complex component
CARHR261450.2	ribosomal rna processing protein
CARHR010450.4	zinc finger ccch domain containing protein
CARHR160830.2	senescence dehydration associated protein chloroplastic
CARHR139540.1	protein vacuoleless gametophytes
CARHR080840.1	large ribosomal subunit protein bl
CARHR144200.1	glucan endo beta glucosidase
CARHR110780.1	unconventional myosin
AT1G49040.2	denn domain and containing protein
AT4G18050.2	abc transporter b family member
CARHR238490.3	nucleoid associated protein chloroplastic
AT1G04590.1	pentatricopeptide repeat containing protein
CARHR063620.2	proline rich receptor protein kinase perk
CARHR099710.1	unknown protein
CARHR166460.1	alpha galactosidase
CARHR144070.1	pentatricopeptide repeat containing protein
AT2G01180.4	phospholipid phosphatase
CARHR269020.2	beta amylase 1
CARHR220400.1	receptor protein
AT1G57720.1	elongation factor 1 gamma
CARHR068220.2	pentatricopeptide repeat containing protein mitochondrial
AT5G05880.1	udp glycosyltransferase
CARHR069370.1	defensin protein
CARHR087330.1	peroxisomal 2 4 dienoyl coa reductase [ 3e enoyl producing]
AT3G52880.2	monodehydroascorbate reductase 1 peroxisomal
AT4G24973.1	s protein
CARHR115400.3	unknown protein
CARHR119970.1	proline rich extensin protein epr
AT4G23750.1	ethylene responsive transcription factor
CARHR219210.1	dirigent protein
CARHR116550.1	protein vacuoleless gametophytes
AT1G51690.5	serine threonine protein phosphatase 2a kda regulatory subunit b
AT4G03415.3	protein phosphatase 2c
AT3G11410.1	protein phosphatase 2c
CARHR014690.2	unknown protein
AT1G73370.2	sucrose synthase
AT5G27830.2	folate binding protein
CARHR128860.1	non classical arabinogalactan protein
AT4G08320.2	small glutamine rich tetratricopeptide repeat containing protein alpha
AT1G78610.1	mechanosensitive ion channel protein
AT5G51630.3	disease resistance protein
CARHR255380.1	dirigent protein
CARHR124740.1	mitochondrial atp independent inner membrane protease subunit
CARHR245620.2	beta xylosyltransferase irx
AT3G19360.2	zinc finger ccch domain containing protein
AT2G18193.1	aaa atpase
AT5G45113.1	transcription termination factor mtef mitochondrial
AT1G24440.2	e3 ubiquitin protein ligase airp
CARHR116640.1	protein phosphatase 2c
AT1G62660.3	beta fructofuranosidase insoluble isoenzyme
AT1G61490.1	g type lectin s receptor serine threonine protein kinase
CARHR272830.1	agamous mads box protein agl
AT1G06900.1	insulin degrading enzyme 1
AT2G31250.1	glutamyl trna reductase 1
CARHR200270.1	gem protein
CARHR015540.1	serine carboxypeptidase member
AT5G50340.3	dna repair protein rada
AT5G57260.1	cytochrome p450
CARHR155270.1	actin
AT2G29910.4	f box protein
CARHR063270.2	protein heat induced tas target
CARHR193910.1	e3 ubiquitin protein ligase
CARHR211810.3	vesicle transport protein
CARHR213080.2	at hook motif nuclear localized protein
AT3G48330.4	protein l isoaspartate o methyltransferase
AT5G53060.3	binding kh domain containing protein
AT1G34780.1	5 adenylylsulfate reductase
CARHR016160.2	centromere protein c
AT5G17860.2	mitochondrial sodium calcium exchanger protein
CARHR212560.1	orm protein
AT5G55565.1	defensin protein
AT4G14358.1	high affinity nitrate transporter
AT4G14368.1	rcc domain containing protein
CARHR171040.1	autophagy protein
CARHR206450.1	l type lectin domain containing receptor kinase 1
AT1G13960.1	wrky transcription factor
AT3G26710.1	protein cofactor assembly of complex c subunit b ccb chloroplastic
AT2G43210.3	ubx domain containing protein 1
AT3G52380.1	kda ribonucleoprotein chloroplastic
CARHR239620.1	adp ribosylation factor 2
AT3G25560.3	lrr receptor kinase
CARHR034000.1	leucine rich repeat receptor serine threonine protein kinase
CARHR217850.1	atp dependent dna helicase pif
AT5G24630.10	dna binding protein bin
AT1G53570.1	mitogen activated protein kinase
CARHR097630.3	protein detoxification
CARHR190940.1	protein tic
CARHR117650.1	auxin responsive protein saur
AT4G00060.1	canonical poly a rna polymerase protein
AT5G02610.1	large ribosomal subunit protein ul
AT4G03230.4	g type lectin s receptor serine threonine protein kinase
AT1G31160.1	adenosine 5 monophosphoramidase hint
AT3G22060.1	cysteine rich repeat secretory protein
AT4G00740.2	unknown protein
CARHR149690.1	wat protein
CARHR160450.1	amino acid transporter
AT2G30660.2	3 hydroxyisobutyryl coa hydrolase protein 1 mitochondrial
CARHR220050.1	methanethiol oxidase
AT4G39220.1	protein rer
CARHR151270.1	math domain and coiled coil containing protein
AT1G09780.1	2 3 bisphosphoglycerate independent phosphoglycerate mutase
AT3G30340.2	wat protein
AT4G34570.5	reductase thymidylate synthase
AT3G48620.1	outer envelope protein 36 chloroplastic
CARHR247820.2	kinesin protein kin
CARHR024360.1	glucomannan 4 beta mannosyltransferase
AT1G17880.1	nascent polypeptide associated complex subunit beta
CARHR149360.1	protein neprosin
AT5G46340.2	protein reduced wall acetylation
AT2G44470.3	beta glucosidase 26
AT2G25625.2	protein chloroplast vesiculation
AT3G22490.1	late embryogenesis abundant protein 34
CARHR262400.2	serine protease do
CARHR072220.2	n acylphosphatidylethanolamine synthase
CARHR109830.1	ubp associated proteins 1c
CARHR286570.1	f box protein
AT3G11260.1	wuschel homeobox
CARHR088410.1	f box protein
CARHR088970.3	protein fluorescent in blue light chloroplastic
CARHR178030.1	translation initiation factor eif2b subunit epsilon
CARHR061840.1	f box protein
CARHR101780.2	rhodanese domain containing protein 4 chloroplastic
CARHR020940.1	4 coumarate coa ligase
CARHR043640.2	ma domain containing translation regulatory factor
CARHR209740.1	polyadenylate binding protein cytoplasmic and nuclear
CARHR290930.1	protein what s this factor 1
AT1G15340.1	methyl cpg binding domain containing protein
CARHR100520.1	iron sulfur cluster carrier protein
CARHR163480.2	dual specificity protein kinase clk
CARHR153150.1	malonyl coa anthocyanidin 5 o glucoside malonyltransferase
AT2G33310.3	auxin responsive protein iaa
AT1G32610.2	protein haiku
AT5G24280.1	structural maintenance of chromosomes flexible hinge domain containing protein gmi
CARHR205370.1	swi snf matrix associated actin dependent regulator of chromatin subfamily a protein
AT4G23730.3	unknown protein
AT3G27280.1	mitochondrial prohibitin protein
CARHR112710.1	phenylalanine trna ligase alpha subunit
AT1G06780.2	polygalacturonate 4 galacturonosyltransferase
CARHR179740.2	ion channel castor
CARHR280500.1	protein enhanced pseudomonas susceptibility
AT3G59700.1	l type lectin domain containing receptor kinase 3
CARHR005520.1	udp glycosyltransferase
AT2G36360.2	protein glutelin precursor accumulation
AT5G11750.2	large ribosomal subunit protein bl
CARHR248900.1	homeobox leucine zipper protein roc
CARHR179500.2	wd repeat containing protein
AT4G28470.1	26s proteasome regulatory subunit
AT4G01850.2	s adenosylmethionine synthase
CARHR016010.1	anion exchange protein
AT4G23210.5	cysteine rich receptor protein kinase
AT2G18080.1	dipeptidyl peptidase
CARHR023750.1	protein detoxification
AT5G42010.2	protein hir
AT1G09195.7	guanosine triphosphate diphosphate pyrophosphatase
CARHR102040.1	s protein
AT5G42030.2	protein abil
CARHR001830.1	cathepsin b cysteine proteinase
AT1G02120.2	protein aster a
AT5G62690.1	tubulin beta chain
AT2G17030.1	f box protein
AT2G25710.1	biotin protein ligase 1
CARHR186450.1	f box protein
AT5G50375.1	cycloeucalenol cycloisomerase
AT5G42900.3	cold regulated protein
AT2G34670.2	protein altered phosphate starvation response
CARHR212130.1	regulatory associated protein of tor
CARHR225290.1	negative regulator of systemic acquired resistance sni
AT1G76810.1	eukaryotic translation initiation factor 5b
CARHR236920.1	zinc finger ccch domain containing protein
CARHR280000.1	nadh dehydrogenase [ubiquinone] iron sulfur protein 4 mitochondrial
CARHR228970.2	chromatin remodeling protein
AT2G22425.1	signal peptidase complex subunit
AT5G67000.1	ethylene responsive transcription factor
CARHR236630.1	protein spear
CARHR291820.1	b3 domain containing protein
CARHR033800.1	transmembrane protein
AT1G19290.1	unknown protein
AT3G19553.1	polyamine transporter
AT5G07590.1	wd repeat containing protein wrap
CARHR105220.5	protein trichome birefringence
CARHR222510.1	calmodulin binding transcription activator
AT3G25620.2	abc transporter g family member
AT2G03770.1	cytosolic sulfotransferase
CARHR122180.1	induced receptor serine threonine protein kinase
AT2G43500.2	protein nlp
CARHR207460.2	l10 interacting myb domain containing protein
CARHR160800.1	web family protein
AT1G03960.4	serine threonine protein phosphatase 2a regulatory subunit b
AT5G58060.2	synaptobrevin ykt
AT2G47850.3	zinc finger ccch domain containing protein
CARHR190930.1	histone deacetylase hdt
CARHR210630.1	e3 ubiquitin protein ligase rnf
CARHR264100.1	f box protein
CARHR059910.1	horma domain containing protein
AT4G34680.1	protein gata transcription factor
AT1G34350.2	transmembrane protein
AT1G63030.1	dehydration responsive element binding protein
CARHR254060.1	syntaxin binding protein
AT3G28080.5	wat protein
AT3G23635.1	small polypeptide devil
CARHR115490.1	protein cereblon
CARHR144540.2	protein basic pentacysteine
CARHR230610.1	cysteine rich receptor protein kinase
AT2G47940.1	serine protease htra
CARHR180840.1	oxysterol binding protein
CARHR263700.1	b3 domain containing protein
AT4G36820.1	calcium uniporter protein 1 mitochondrial
AT4G19440.4	pentatricopeptide repeat containing protein chloroplastic
AT4G05180.2	oxygen evolving enhancer protein 3 1 chloroplastic
AT1G45191.5	beta glucosidase
AT5G48820.2	cyclin dependent kinase inhibitor
CARHR136110.1	defensin protein
AT3G02270.1	translation initiation factor eif2b subunit epsilon
AT1G62350.1	protein thylakoid assembly 8 chloroplastic
AT5G44950.1	f box fbd protein
CARHR151100.1	cation h + antiporter 23
AT1G11960.1	hyperosmolality gated ca + permeable channel
AT2G36250.3	cell division protein ftsz 2 1
CARHR253170.1	chromatin remodeling protein
CARHR012490.1	flavin containing monooxygenase fmo gs ox
AT1G73290.2	serine carboxypeptidase
CARHR074170.1	gibberellin 3 beta dioxygenase
CARHR148520.1	bromodomain containing protein
AT1G54820.3	proline rich receptor protein kinase perk
CARHR110520.1	camp dependent protein kinase catalytic subunit
CARHR128610.2	small ribosomal subunit protein
AT5G20260.3	exostosin
AT2G18710.1	protein translocase subunit secy
AT1G35850.2	pumilio
AT2G26150.4	heat stress transcription factor a 1
CARHR189230.1	f box fbd protein
CARHR204890.1	glucose phosphate isomerase cytosolic
CARHR066570.1	non specific lipid transfer protein gpi anchored
CARHR029540.1	carbamoyl phosphate synthase large chain
CARHR179200.1	binding factor
CARHR144470.1	type inositol polyphosphate 5 phosphatase
AT5G66005.7	cancer nucleoside triphosphatase
AT4G31400.1	n acetyltransferase
AT5G64460.6	phosphoglycerate mutase protein
CARHR130280.1	hva protein
AT1G14650.1	splicing factor 3a subunit
AT3G14530.1	geranylgeranyl pyrophosphate synthase 11 chloroplastic
CARHR076230.2	e3 ubiquitin protein ligase ubr
AT5G22440.2	large ribosomal subunit protein ul
AT2G31870.2	poly adp ribose glycohydrolase
CARHR180830.3	pentatricopeptide repeat containing protein
AT3G28956.8	dna directed rna polymerase iii subunit rpc
CARHR081010.1	[pyruvate dehydrogenase acetyl transferring ] kinase 1 mitochondrial
CARHR225860.1	xyloglucan endotransglucosylase hydrolase protein
AT3G19960.5	myosin
CARHR000340.1	zinc finger protein zat
CARHR077010.3	heat stress transcription factor a 1
CARHR186130.1	long chain fatty acid coa ligase
AT1G19900.1	aldehyde oxidase glox
AT5G43910.2	adenosine kinase
AT4G25620.1	unknown protein
AT3G27070.2	mitochondrial import receptor subunit tom
AT5G59470.1	mannose p dolichol utilization defect protein
AT1G19070.1	f box protein
AT4G27720.1	molybdate anion transporter
AT5G49810.1	methionine s methyltransferase
AT2G33680.4	pentatricopeptide repeat containing protein
AT3G57390.1	mads box transcription factor
AT5G24030.1	s type anion channel slah
AT2G23930.2	small nuclear ribonucleoprotein
AT1G64680.2	beta carotene isomerase d27 chloroplastic
CARHR190260.1	transcription factor
CARHR294200.3	ddb and cul associated factor protein
AT2G37670.1	wd repeat containing protein
AT1G59835.1	precursor of cep
CARHR158350.1	protein iq domain
CARHR247890.1	auxin responsive protein saur
AT4G38062.1	unknown protein
AT3G18450.1	protein plant cadmium resistance
AT2G25120.1	protein repressor of vernalization
AT1G45160.2	associated serine threonine protein kinase
CARHR042510.1	f box protein
CARHR094820.1	phosphatidylinositol 3 4 5 trisphosphate phosphatase and dual specificity protein pten
AT4G15080.1	protein s acyltransferase
CARHR035800.1	pentatricopeptide repeat containing protein mitochondrial
CARHR290940.1	exocyst complex component
CARHR014860.1	pectate lyase
CARHR097690.1	udp glycosyltransferase
CARHR144280.2	dolichyl diphosphooligosaccharide protein glycosyltransferase subunit
CARHR156320.1	protein transcription factor
CARHR180880.2	aspartic proteinase
CARHR225620.1	transcription factor myb
AT1G60460.2	type dna topoisomerase subunit b
AT3G17155.1	defensin protein
CARHR287930.1	atp synthase 0 subunit mitochondrial
AT5G15550.2	ribosome biogenesis protein
AT3G05830.2	nuclear envelope associated protein
AT5G49900.1	non lysosomal glucosylceramidase
AT4G11900.5	g type lectin s receptor serine threonine protein kinase
CARHR200510.1	dna damage repair toleration protein drt
AT1G51760.1	iaa amino acid hydrolase ilr
AT5G05400.1	disease resistance protein
CARHR165500.1	kda phloem protein
AT1G01080.2	cugbp elav family member 1
CARHR119720.1	homeobox protein bel
AT1G52360.1	coatomer subunit beta 1
CARHR286790.2	demeter protein
AT3G12340.2	peptidyl prolyl cis trans isomerase fkbp
CARHR274900.1	small ribosomal subunit protein es
AT3G18850.6	1 acyl sn glycerol phosphate acyltransferase
AT4G23660.3	4 hydroxybenzoate
AT4G17483.3	palmitoyl protein thioesterase
AT1G56345.2	rna pseudouridine synthase
AT2G37670.2	wd repeat containing protein
CARHR079930.1	translationally controlled tumor protein
AT3G62800.1	double stranded rna binding protein
CARHR216020.1	transcription factor stkl
CARHR108170.2	protein mid complementing activity
AT1G66960.2	beta amyrin synthase
AT5G11500.2	coiled coil domain containing protein
AT3G27160.2	small ribosomal subunit protein bs21c
AT1G53790.1	f box protein
CARHR141960.1	calcium binding protein
AT5G46500.4	disease resistance protein rps
AT5G47310.1	deubiquitinase desi
CARHR186080.1	mitogen activated protein kinase
AT1G80210.1	lys specific deubiquitinase
AT1G72570.1	ap ethylene responsive transcription factor
AT3G04030.3	myb family transcription factor phl
CARHR089930.1	unknown protein
CARHR285590.1	copper transporter
CARHR242820.1	phosphatidylinositol phosphatidylcholine transfer protein sfh
AT5G66670.2	upf protein
CARHR211930.1	gamma interferon lysosomal thiol protein
CARHR287790.1	dna cytosine methyltransferase
AT5G64860.1	4 alpha glucanotransferase
CARHR256090.3	subtilisin protease
CARHR076240.3	nadph cytochrome p450 reductase
AT1G60040.1	agamous mads box protein agl
AT5G38392.1	f box protein
AT3G11620.7	lipid droplet associated hydrolase
AT2G16070.1	plastid division protein pdv
CARHR166680.2	n lysine methyltransferase
CARHR073880.1	receptor serine threonine protein kinase
CARHR177720.2	disease resistance protein rps
CARHR275320.2	interleukin receptor associated kinase
AT5G45630.1	protein s40 1
CARHR281300.2	lipid phosphate phosphatase epsilon 1 chloroplastic
CARHR141930.1	pyridoxine pyridoxamine 5 phosphate oxidase
CARHR113580.2	mediator of rna polymerase ii transcription subunit
AT1G58170.1	dirigent protein
CARHR124770.1	cysteine trna ligase 1
CARHR111970.1	proline rich protein
CARHR086620.1	activator of kda heat shock protein atpase
AT3G07480.1	2fe 2s ferredoxin
CARHR056570.3	albino protein 2
AT4G36400.1	d 2 hydroxyglutarate dehydrogenase mitochondrial
CARHR159000.1	large ribosomal subunit protein ul
AT1G15180.2	protein detoxification
CARHR115540.1	biotin protein ligase 1
CARHR166680.1	n lysine methyltransferase
AT2G23140.2	u box domain containing protein
CARHR059210.1	l type lectin domain containing receptor kinase 9
AT2G28590.2	interacting receptor cytoplasmic serine threonine protein kinase
CARHR172430.1	transcription factor
AT1G09560.1	germin protein subfamily member
CARHR175330.2	large ribosomal subunit protein el
CARHR249560.1	5 3 exoribonuclease
AT3G52970.1	cytochrome p450 monooxygenase
AT3G17980.1	protein c2 domain aba
AT5G54730.2	autophagy protein
CARHR231950.1	ap complex subunit mu
CARHR207310.1	bi functional coumaroyl coa and feruloyl ortho hydroxylase 1 8
AT1G11070.5	unknown protein
AT5G06670.2	kinesin protein kin chloroplastic
AT2G29640.1	josephin protein
CARHR176930.1	disease resistance protein adr
AT5G04620.1	8 amino oxononanoate synthase
CARHR207280.1	rop guanine nucleotide exchange factor
CARHR193070.1	importin
AT3G10840.1	abhydrolase domain containing protein abhd
AT5G20830.2	sucrose synthase
AT1G09060.2	lysine specific demethylase jmj
AT2G26030.1	f box fbd protein
AT1G63480.7	at hook motif nuclear localized protein
AT5G17970.1	disease resistance protein rps
AT1G36580.1	peroxisomal 2 4 dienoyl coa reductase [ 3e enoyl producing]
AT1G62320.5	hyperosmolality gated ca + permeable channel
CARHR223270.2	+ synthase chloroplastic
AT5G46390.2	carboxyl terminal processing peptidase 1 chloroplastic
AT2G15900.1	sorting nexin
AT2G43070.3	signal peptide peptidase
CARHR213240.1	phytyl ester synthase 1 chloroplastic
CARHR116660.1	formin protein
CARHR186250.1	heparan alpha glucosaminide n acetyltransferase
AT4G19990.4	protein far sequence
CARHR132300.4	rab gtpase activating protein tbc
CARHR082860.1	v type proton atpase subunit e
CARHR176080.1	pollen specific protein
AT2G32400.1	glutamate receptor
AT1G07080.1	gamma interferon inducible lysosomal thiol reductase
CARHR172580.1	ubiquitin ribosomal protein es fusion
AT1G68190.3	zinc finger protein constans
CARHR202050.2	disease resistance protein
CARHR119930.1	f box protein
AT2G37020.1	translin
AT1G08520.1	magnesium chelatase subunit
AT1G51850.2	induced receptor serine threonine protein kinase
AT4G20310.4	membrane bound transcription factor site protease
AT1G31850.1	unknown protein
AT5G08340.1	fad synthetase 1 chloroplastic
AT4G03230.6	g type lectin s receptor serine threonine protein kinase
AT5G01570.4	kinetochore protein spc
AT5G52882.1	spastin
AT1G58250.1	protein pollen
AT5G66360.2	dimethyladenosine transferase
AT2G24350.1	embryonic polyadenylate binding protein
CARHR150130.1	e3 ubiquitin protein ligase rsl
CARHR174640.1	protein argonaute
AT5G26220.1	gamma glutamylcyclotransferase
AT2G35010.1	containing thioredoxin
CARHR124230.1	proline rich receptor protein kinase perk
AT5G11020.4	proline rich receptor protein kinase perk
AT4G10590.1	ubiquitin carboxyl terminal hydrolase
AT3G58040.2	e3 ubiquitin protein ligase
AT2G43190.2	ribonuclease mrp protein subunit pop
AT3G61080.2	protein 3 kinase
AT3G29010.5	inactive lipoate protein ligase
CARHR147260.1	cytochrome p450
AT4G37160.2	iron transport multicopper oxidase fet
CARHR188140.1	act domain containing protein acr
AT5G05280.1	ring h2 finger protein atl
CARHR105220.1	protein trichome birefringence
AT2G40470.1	lob domain containing protein
AT1G02010.5	syntaxin binding protein
AT2G43280.1	protein far sequence
AT5G66640.2	protein da
AT3G02880.1	pollen receptor kinase
CARHR080240.2	lon protease 1 mitochondrial
CARHR092040.2	phospholipase d
AT5G06580.1	d 2 hydroxyglutarate dehydrogenase mitochondrial
AT1G18070.3	eukaryotic peptide chain release factor gtp binding subunit
CARHR108770.1	protein rer
CARHR175750.1	pentatricopeptide repeat containing protein
CARHR232390.1	alpha amylase isozyme
CARHR229050.1	f box protein
AT1G04330.1	unknown protein
CARHR235260.1	udp glycosyltransferase
AT1G12750.2	rhomboid protein 10
CARHR132450.1	protein nrt ptr family
CARHR240940.2	upf protein
CARHR278210.1	transcription elongation factor spt
AT4G02430.4	serine arginine rich splicing factor
AT1G02120.3	protein aster a
AT5G41180.2	inactive receptor serine threonine protein kinase
AT5G37475.2	eukaryotic translation initiation factor subunit j
CARHR225180.1	f box protein
CARHR148140.2	regulation of nuclear pre mrna domain containing protein
AT3G23955.2	f box fbd protein
AT3G08640.1	protein reticulata 1 chloroplastic
CARHR213630.2	uracil phosphoribosyltransferase
CARHR114260.1	proline rich receptor protein kinase perk
CARHR058070.2	dna polymerase alpha subunit b
AT2G30770.1	cytochrome p450
CARHR254610.2	fas associated factor 2
AT4G04614.1	upf protein c1orf52
AT3G58960.1	f box protein
CARHR030510.1	bub interacting and glebs motif containing protein znf
AT1G16070.1	tubby protein
CARHR260340.3	vesicle associated membrane protein
CARHR225850.1	transcription factor iws
CARHR069350.1	stress protein mitochondrial
AT1G06200.1	mitochondrial atp independent inner membrane protease subunit
CARHR153990.1	disease resistance protein rps
CARHR018180.1	myosin
AT1G04380.1	1 aminocyclopropane carboxylate oxidase
CARHR004720.1	cationic peroxidase
CARHR123740.2	ferrochelatase
CARHR068040.1	calcium dependent protein kinase
CARHR181860.4	protein basic pentacysteine
CARHR126040.1	protein far sequence
AT5G61330.1	protein bfr
CARHR138360.1	f box repeat protein
AT1G05190.1	large ribosomal subunit protein ul
AT2G43320.1	histidine protein methyltransferase
CARHR129840.1	lrr receptor serine threonine protein kinase
CARHR079710.1	aminopeptidase
CARHR152700.1	small ribosomal subunit protein us
CARHR267530.1	cyclic nucleotide gated ion channel
CARHR021110.1	serine threonine protein kinase
AT4G21940.1	calcium dependent protein kinase
CARHR292460.1	prolyl 4 hydroxylase
CARHR087280.1	zinc transporter 4
AT4G13460.1	histone lysine n methyltransferase member
CARHR041930.1	glycosyltransferase bc
AT3G58410.2	math domain and coiled coil containing protein
AT1G30300.4	unknown protein
AT3G27110.1	protease htpx
AT4G15233.3	abc transporter g family member
CARHR154410.1	small ribosomal subunit protein us
CARHR292230.1	disease resistance protein
CARHR038490.1	factor of dna methylation
AT2G21870.2	unknown protein
AT2G38810.3	histone h2a
AT1G74150.6	protein glutelin precursor accumulation
CARHR065960.1	beta galactosidase protein
AT3G10310.2	kinesin protein kin
CARHR232730.1	at hook motif nuclear localized protein
CARHR093190.1	inactive receptor protein kinase
AT4G15450.1	senescence dehydration associated protein chloroplastic
AT4G28280.2	gpi anchored protein
AT3G15030.1	transcription factor tcp
AT4G25190.2	qwrf motif containing protein
AT2G20570.1	two component response regulator orr
CARHR230680.3	eukaryotic translation initiation factor subunit a
CARHR181390.2	nadph cytochrome p450 reductase
CARHR257990.2	f box fbd protein
CARHR271280.1	beta galactosyltransferase
CARHR030050.2	pentatricopeptide repeat containing protein chloroplastic
AT2G26470.1	abasic site processing protein
AT1G75020.2	1 acyltransferase
CARHR026380.1	caffeoyl coa o methyltransferase
AT1G19115.2	protein lazy
AT3G52400.1	syntaxin protein
CARHR109930.1	repair protein reca 3
CARHR126060.1	receptor protein
AT2G37160.3	catabolite repression protein crec
AT2G01280.3	transcription initiation factor iib
AT1G08570.4	thioredoxin 1 2 chloroplastic
CARHR266630.1	thylakoid lumenal kda protein chloroplastic
AT2G19090.1	protein altered phosphate starvation response
AT5G38690.2	cell division cycle associated protein
CARHR173640.2	nuclear transcription factor y subunit 1
AT4G21600.1	endonuclease
AT3G55390.1	casp protein 4c1
AT4G10770.2	oligopeptide transporter
CARHR055660.1	senescence specific cysteine protease sag
CARHR111500.1	qwrf motif containing protein
AT5G63390.1	o fucosyltransferase
AT3G09735.1	dna binding protein
CARHR206880.1	sucrose transport protein sut
CARHR278140.1	calmodulin binding transcription activator
AT2G19520.1	histone acetyltransferase type b subunit
CARHR166380.1	btb poz domain containing protein
CARHR120110.1	protein transport sec24a
CARHR150540.1	pro cathepsin h
