genids	species	highest_mean_genid
NP_001000050.1, NP_001000726.1	Rattus norvegicus	NP_001000726.1
NP_001000052.1, NP_001000727.1, NP_001001108.1	Rattus norvegicus	NP_001000727.1
NP_001396359.1, NP_001000054.2	Rattus norvegicus	NP_001396359.1
NP_001000079.1, NP_001000080.1	Rattus norvegicus	NP_001000079.1
NP_001000086.1, NP_001000910.1	Rattus norvegicus	NP_001000086.1
NP_001000094.1, NP_001395666.1	Rattus norvegicus	NP_001000094.1
NP_001000099.1, NP_001000833.1	Rattus norvegicus	NP_001000099.1
NP_001000100.1, NP_001000832.1	Rattus norvegicus	NP_001000832.1
XP_006251984.1, NP_001000102.2	Rattus norvegicus	XP_006251984.1
NP_001000109.1, NP_001000760.1	Rattus norvegicus	NP_001000760.1
NP_001000111.1, NP_001000112.1, NP_001000113.1, NP_001000539.1, NP_001000768.1	Rattus norvegicus	NP_001000113.1
NP_001000122.1, NP_001000123.1	Rattus norvegicus	NP_001000123.1
NP_001000124.1, NP_001001001.1	Rattus norvegicus	NP_001000124.1
NP_001000127.1, NP_001000128.1	Rattus norvegicus	NP_001000128.1
XP_038952315.1, NP_001000129.1, NP_001000748.1, NP_001001022.1	Rattus norvegicus	NP_001001022.1
NP_001000133.1, NP_001001279.1	Rattus norvegicus	NP_001000133.1
NP_001000141.1, NP_001001024.1	Rattus norvegicus	NP_001001024.1
NP_001000150.1, NP_001000742.1, NP_001000743.1	Rattus norvegicus	NP_001000743.1
NP_001000151.1, NP_001000951.1	Rattus norvegicus	NP_001000151.1
XP_006229987.1, NP_001000156.1	Rattus norvegicus	NP_001000156.1
NP_001000158.1, NP_001001026.1	Rattus norvegicus	NP_001001026.1
NP_001000164.1, NP_001000545.1	Rattus norvegicus	NP_001000545.1
NP_001000166.1, NP_001000739.1	Rattus norvegicus	NP_001000166.1
NP_001000170.1, NP_001000738.1	Rattus norvegicus	NP_001000170.1
NP_001000176.1, NP_001000177.1, NP_001000178.1, NP_001001028.1, NP_001001029.1	Rattus norvegicus	NP_001000177.1
NP_001000178.1, NP_001001029.1	Rattus norvegicus	NP_001000178.1
NP_001000181.1, NP_001001030.1	Rattus norvegicus	NP_001001030.1
NP_001000185.1, NP_001000186.1, NP_001000549.1	Rattus norvegicus	NP_001000186.1
NP_001000189.1, NP_001001033.1, NP_001001034.1	Rattus norvegicus	NP_001001033.1
NP_001000193.1, NP_001001018.1	Rattus norvegicus	NP_001000193.1
NP_001000194.1, NP_001000736.1	Rattus norvegicus	NP_001000194.1
NP_001000197.1, NP_001000198.1	Rattus norvegicus	NP_001000198.1
NP_001000199.1, NP_001000551.1	Rattus norvegicus	NP_001000199.1
NP_001000202.1, NP_001000553.1	Rattus norvegicus	NP_001000553.1
NP_001000207.1, NP_001001035.1	Rattus norvegicus	NP_001001035.1
NP_001000209.1, NP_001000211.1	Rattus norvegicus	NP_001000209.1
NP_001000218.1, NP_001001037.1	Rattus norvegicus	NP_001001037.1
NP_001000222.1, NP_001001038.1	Rattus norvegicus	NP_001000222.1
NP_001000224.1, NP_001000225.1, NP_001001010.1	Rattus norvegicus	NP_001000225.1
NP_001000226.1, NP_001000730.1	Rattus norvegicus	NP_001000226.1
NP_001000229.1, NP_001000230.1	Rattus norvegicus	NP_001000229.1
NP_001000240.1, NP_001000766.1	Rattus norvegicus	NP_001000766.1
NP_001000242.1, NP_001000765.1	Rattus norvegicus	NP_001000242.1
NP_001000243.1, NP_001000764.1, NP_001001040.1	Rattus norvegicus	NP_001000243.1
NP_001000245.1, NP_001000246.1, NP_001000762.1	Rattus norvegicus	NP_001000245.1
NP_001000252.1, NP_001396075.1	Rattus norvegicus	NP_001000252.1
NP_001001276.1, NP_001000261.1	Rattus norvegicus	NP_001001276.1
NP_001389029.1, NP_001000268.1, NP_001000891.1, NP_001000892.1, XP_017457194.1, NP_001000894.1	Rattus norvegicus	XP_017457194.1
NP_001000271.1, NP_001000887.1	Rattus norvegicus	NP_001000271.1
NP_001000273.1, NP_001000274.1, NP_001000275.1, NP_001000888.1, NP_001000889.1	Rattus norvegicus	NP_001000274.1
NP_001000276.1, NP_001000509.1, NP_001000886.1, NP_001001115.1	Rattus norvegicus	NP_001000886.1
NP_001000277.1, NP_001000896.1, NP_001001117.1	Rattus norvegicus	NP_001000277.1
NP_001000281.1, NP_001000688.1	Rattus norvegicus	NP_001000688.1
NP_001000282.1, NP_001000283.1, NP_001000284.1	Rattus norvegicus	NP_001000283.1
NP_001000285.1, NP_001000286.1, NP_001001049.1, NP_001001050.1, NP_001001123.1	Rattus norvegicus	NP_001000286.1
NP_001000290.1, NP_001000291.1, NP_001000687.1	Rattus norvegicus	NP_001000291.1
NP_001000296.1, NP_001000934.1	Rattus norvegicus	NP_001000296.1
NP_001000297.1, NP_001000298.1	Rattus norvegicus	NP_001000298.1
NP_001000299.1, NP_001001124.1	Rattus norvegicus	NP_001001124.1
XP_038961994.1, NP_001000302.1, NP_001000686.1	Rattus norvegicus	XP_038961994.1
NP_001000305.1, NP_001000685.1	Rattus norvegicus	NP_001000305.1
NP_001000311.1, NP_001000678.1, NP_001000679.1	Rattus norvegicus	NP_001000678.1
NP_001000322.1, NP_001000670.1	Rattus norvegicus	NP_001000322.1
NP_001000324.1, NP_001000668.1	Rattus norvegicus	NP_001000324.1
NP_001000326.1, NP_001000664.1	Rattus norvegicus	NP_001000664.1
NP_001000327.1, NP_001000328.1	Rattus norvegicus	NP_001000327.1
NP_001000330.1, NP_001000657.1, XP_017447456.1	Rattus norvegicus	NP_001000330.1
NP_001000331.1, NP_001000332.1, NP_001001056.1	Rattus norvegicus	NP_001001056.1
XP_006234554.1, NP_001000333.1	Rattus norvegicus	XP_006234554.1
NP_001000336.1, NP_001000926.1	Rattus norvegicus	NP_001000336.1
NP_001000341.1, NP_001000639.1	Rattus norvegicus	NP_001000341.1
NP_001000348.1, NP_001000349.1, NP_001000350.1, NP_001000633.1, NP_001001061.1	Rattus norvegicus	NP_001000633.1
NP_001000350.1, NP_001001061.1	Rattus norvegicus	NP_001001061.1
NP_001000353.1, NP_001000354.1, NP_001000631.1, NP_001001062.1	Rattus norvegicus	NP_001000353.1
NP_001000355.1, NP_001000356.1	Rattus norvegicus	NP_001000356.1
XP_038962000.1, XP_230251.8, NP_001000359.1, XP_038961551.1	Rattus norvegicus	NP_001000359.1
NP_001000360.1, NP_001000571.1, NP_001000624.1, NP_001000625.1	Rattus norvegicus	NP_001000360.1
NP_001000361.1, NP_001000621.1	Rattus norvegicus	NP_001000361.1
NP_001000363.1, NP_001000619.1, NP_001382073.1	Rattus norvegicus	NP_001382073.1
NP_001000365.1, NP_001000615.1, NP_001001068.1	Rattus norvegicus	NP_001000365.1
NP_001000371.1, NP_001000372.1, NP_001000610.1, NP_001000919.1	Rattus norvegicus	NP_001000610.1
NP_001000373.1, NP_001000609.1	Rattus norvegicus	NP_001000373.1
NP_001000375.1, NP_001000606.1, NP_001000917.1	Rattus norvegicus	NP_001000917.1
NP_001000376.1, NP_001000604.1	Rattus norvegicus	NP_001000604.1
NP_001000386.1, NP_001000826.1	Rattus norvegicus	NP_001000386.1
NP_001000391.1, NP_001000392.1	Rattus norvegicus	NP_001000391.1
NP_001000402.1, NP_001000404.1	Rattus norvegicus	NP_001000404.1
NP_001000405.1, NP_001412355.1	Rattus norvegicus	NP_001000405.1
NP_001000406.1, NP_001000897.1	Rattus norvegicus	NP_001000406.1
NP_001000406.1, NP_001000414.1, NP_001000415.1, NP_001000581.1, NP_001000897.1	Rattus norvegicus	NP_001000415.1
NP_001000421.1, NP_001000712.1	Rattus norvegicus	NP_001000421.1
NP_001000424.1, NP_001000993.1	Rattus norvegicus	NP_001000424.1
NP_001000428.1, NP_001000879.1	Rattus norvegicus	NP_001000428.1
XP_038938795.1, NP_001000435.1	Rattus norvegicus	NP_001000435.1
NP_001000436.1, NP_001000819.2, NP_001001120.1	Rattus norvegicus	NP_001001120.1
NP_001000438.1, NP_001000815.1	Rattus norvegicus	NP_001000438.1
XP_017451673.2, NP_001000441.1	Rattus norvegicus	NP_001000441.1
XP_017451673.2, NP_001000441.1, NP_001000442.1, NP_001000443.1, NP_001000964.1, NP_001001083.1	Rattus norvegicus	NP_001000441.1
NP_001000448.1, NP_001000449.1, NP_001000450.1, XP_008760896.1	Rattus norvegicus	NP_001000450.1
NP_001000451.1, NP_001000809.1, XP_038937822.1	Rattus norvegicus	NP_001000451.1
NP_001000451.1, NP_001000452.1, NP_001000807.1, NP_001000808.1, NP_001000809.1, XP_038937822.1, NP_001001020.1	Rattus norvegicus	NP_001000452.1
NP_001000452.1, NP_001000453.1, NP_001000806.1, NP_001001020.1	Rattus norvegicus	NP_001000452.1
NP_001000454.1, NP_001000805.1, NP_001001085.1	Rattus norvegicus	NP_001000454.1
NP_001000459.1, NP_001000518.1	Rattus norvegicus	NP_001000518.1
NP_001000460.1, NP_001000597.1, NP_001000598.1, NP_001000960.1	Rattus norvegicus	NP_001000460.1
NP_001000464.1, NP_001000959.1	Rattus norvegicus	NP_001000959.1
XP_006243206.2, NP_001000470.1, NP_001000471.1, NP_001000472.1, NP_001000792.1, NP_001000793.1, NP_001001087.2	Rattus norvegicus	XP_006243206.2
XP_006243206.2, NP_001000472.1	Rattus norvegicus	XP_006243206.2
NP_001000476.1, NP_001000477.1, NP_001000790.1	Rattus norvegicus	NP_001000476.1
NP_001000478.1, NP_001000479.1	Rattus norvegicus	NP_001000478.1
NP_001000483.1, NP_001000753.1, NP_001001088.1	Rattus norvegicus	NP_001000483.1
NP_001000484.1, NP_001000520.1, NP_001000751.1, NP_001000752.1, NP_001001121.1	Rattus norvegicus	NP_001001121.1
NP_999989.1, NP_999990.1, NP_001000494.1, NP_001000979.1, NP_001000980.1	Rattus norvegicus	NP_999990.1
NP_001000495.1, NP_001395611.1	Rattus norvegicus	NP_001000495.1
NP_001000496.1, NP_001001103.1	Rattus norvegicus	NP_001001103.1
NP_001000513.1, NP_001001064.1	Rattus norvegicus	NP_001001064.1
NP_001000524.1, NP_001001089.1, NP_001001090.1, NP_001001091.1, NP_001001092.1, NP_001001093.1	Rattus norvegicus	NP_001001091.1
NP_001403703.1, NP_001000529.2	Rattus norvegicus	NP_001403703.1
XP_008757096.1, NP_001000538.2, NP_001000856.1	Rattus norvegicus	NP_001000856.1
NP_001000561.1, NP_001000683.1	Rattus norvegicus	NP_001000561.1
NP_001000571.1, NP_001000625.1	Rattus norvegicus	NP_001000571.1
XP_038962001.1, NP_001000572.2	Rattus norvegicus	XP_038962001.1
NP_001000575.1, NP_001000576.1	Rattus norvegicus	NP_001000575.1
NP_001000579.1, NP_001000608.1	Rattus norvegicus	NP_001000579.1
NP_001000584.1, NP_001000585.2, XP_003750064.2	Rattus norvegicus	NP_001000585.2
NP_775457.2, NP_001000592.1	Rattus norvegicus	NP_775457.2
NP_001000603.1, NP_001000916.1	Rattus norvegicus	NP_001000603.1
NP_001000617.1, NP_001000618.1	Rattus norvegicus	NP_001000618.1
NP_001000628.1, XP_003749574.5	Rattus norvegicus	NP_001000628.1
NP_001000659.1, NP_001000660.1	Rattus norvegicus	NP_001000659.1
XP_006234553.1, NP_001000663.1, NP_001000928.1	Rattus norvegicus	NP_001000928.1
NP_001001376.1, NP_001000674.1	Rattus norvegicus	NP_001001376.1
XP_038943762.1, NP_001000716.1	Rattus norvegicus	NP_001000716.1
NP_001000722.1, NP_001000944.1	Rattus norvegicus	NP_001000722.1
NP_001000723.1, NP_997692.1	Rattus norvegicus	NP_997692.1
NP_001001383.1, NP_001000728.1	Rattus norvegicus	NP_001000728.1
NP_001000745.1, NP_001000746.1	Rattus norvegicus	NP_001000746.1
NP_001000484.1, NP_001000520.1, NP_001000750.1, NP_001000751.1, NP_001000752.1, NP_001000953.1, NP_001001121.1	Rattus norvegicus	NP_001001121.1
NP_001000757.1, NP_001000758.1	Rattus norvegicus	NP_001000758.1
NP_001000771.1, NP_001000772.1	Rattus norvegicus	NP_001000771.1
NP_001000800.1, NP_001000801.1	Rattus norvegicus	NP_001000801.1
XP_038938797.1, XP_017451023.1, NP_001000814.1	Rattus norvegicus	XP_038938797.1
XP_038967494.1, NP_001000822.1, NP_001001071.1	Rattus norvegicus	NP_001001071.1
NP_001000827.1, NP_001000969.1	Rattus norvegicus	NP_001000969.1
NP_001000836.1, NP_001000837.1	Rattus norvegicus	NP_001000836.1
NP_001000839.1, NP_001000840.1, NP_001001003.1	Rattus norvegicus	NP_001001003.1
NP_001000842.1, NP_001000843.1, NP_001000974.1	Rattus norvegicus	NP_001000974.1
NP_001000851.1, NP_001000976.1	Rattus norvegicus	NP_001000976.1
NP_001000853.1, NP_001000977.1, NP_001001004.1	Rattus norvegicus	NP_001000977.1
NP_001006598.1, NP_001000858.1	Rattus norvegicus	NP_001006598.1
NP_001000868.1, NP_001000984.1	Rattus norvegicus	NP_001000868.1
NP_001000871.1, NP_001000985.1	Rattus norvegicus	NP_001000871.1
NP_001000877.1, NP_001001017.1	Rattus norvegicus	NP_001001017.1
NP_001000890.1, NP_001001006.1	Rattus norvegicus	NP_001000890.1
NP_001000890.1, NP_001000891.1, NP_001000892.1, XP_017457194.1, NP_001001006.1	Rattus norvegicus	XP_017457194.1
NP_001000898.1, NP_001000899.1	Rattus norvegicus	NP_001000899.1
NP_001000901.1, NP_001000991.1	Rattus norvegicus	NP_001000991.1
NP_001000902.1, NP_001000903.1, NP_001000904.1, NP_001000905.1	Rattus norvegicus	NP_001000903.1
NP_001000912.1, NP_001000995.1	Rattus norvegicus	NP_001000912.1
NP_001000913.1, XP_038946886.1	Rattus norvegicus	NP_001000913.1
XP_038961998.1, NP_001000935.1	Rattus norvegicus	NP_001000935.1
NP_997480.2, NP_001000941.1	Rattus norvegicus	NP_001000941.1
XP_038944129.1, NP_001000945.1	Rattus norvegicus	NP_001000945.1
XP_063136785.1, NP_001000947.2	Rattus norvegicus	NP_001000947.2
NP_001000950.1, NP_001001000.1	Rattus norvegicus	NP_001001000.1
NP_001000448.1, NP_001000449.1, XP_008760896.1, NP_001000963.1, NP_001001013.1	Rattus norvegicus	NP_001000448.1
XP_063124601.1, NP_999994.1, NP_999995.1, NP_001000978.1	Rattus norvegicus	NP_999994.1
XP_002729919.3, NP_001000981.1	Rattus norvegicus	XP_002729919.3
XP_038949982.1, NP_001001015.1	Rattus norvegicus	XP_038949982.1
NP_001001272.1, NP_001001273.1, NP_001001285.1, NP_001001027.1	Rattus norvegicus	NP_001001285.1
NP_001000496.1, NP_001001099.1, NP_001001100.1, NP_001001101.1, NP_001001102.1, NP_001001103.1	Rattus norvegicus	NP_001001103.1
NP_001001105.1, NP_001001106.1, NP_001001107.1	Rattus norvegicus	NP_001001106.1
NP_996732.1, NP_001001111.1	Rattus norvegicus	NP_996732.1
NP_001001112.1, NP_001001113.1, XP_006255923.1	Rattus norvegicus	NP_001001113.1
NP_001000277.1, NP_999625.1, NP_001001116.1, NP_001001117.1	Rattus norvegicus	NP_001000277.1
NP_001001397.1, NP_001001421.1, NP_001001422.1, NP_001001119.1, NP_001006599.1	Rattus norvegicus	NP_001001421.1
NP_001001281.1, NP_001001287.1	Rattus norvegicus	NP_001001287.1
NP_001001429.1, NP_997658.1, NP_001001428.1	Rattus norvegicus	NP_001001429.1
NP_001396168.1, NP_001396169.1, NP_001002283.1	Rattus norvegicus	NP_001396168.1
NP_001316813.1, NP_001002813.2	Rattus norvegicus	NP_001316813.1
NP_775445.2, NP_001007265.4, NP_001004271.1	Rattus norvegicus	NP_001004271.1
NP_001005381.2, XP_008770756.1	Rattus norvegicus	XP_008770756.1
XP_063135847.1, XP_063135862.1, XP_063135855.1, NP_001006999.1, XP_038957242.2, XP_063135883.1	Rattus norvegicus	XP_063135847.1
NP_001163955.1, NP_001007015.2	Rattus norvegicus	NP_001163955.1
NP_037228.1, NP_001013875.1, NP_001007723.1	Rattus norvegicus	NP_001013875.1
NP_001008752.1, NP_001008750.1	Rattus norvegicus	NP_001008752.1
NP_001008757.1, NP_001008758.1, NP_001008819.1, NP_001008817.2	Rattus norvegicus	NP_001008757.1
XP_038935640.2, XP_038935641.1, NP_001008814.2, NP_001095145.1	Rattus norvegicus	NP_001008814.2
XP_063125193.1, NP_001008824.1	Rattus norvegicus	NP_001008824.1
XP_063135035.1, NP_001008830.1	Rattus norvegicus	XP_063135035.1
NP_001008832.1, XP_063135457.1, XP_038954892.1	Rattus norvegicus	NP_001008832.1
NP_001008835.1, NP_001008838.1, NP_001008836.1, XP_063135491.1	Rattus norvegicus	NP_001008835.1
XP_063135177.1, NP_001008845.1, NP_001008842.1	Rattus norvegicus	NP_001008845.1
XP_006255970.1, NP_001008854.1	Rattus norvegicus	XP_006255970.1
NP_001008890.1, NP_001019976.1, NP_742090.1	Rattus norvegicus	NP_001008890.1
NP_001008912.2, XP_038964435.1	Rattus norvegicus	XP_038964435.1
XP_038951933.1, NP_001008919.1	Rattus norvegicus	XP_038951933.1
XP_038956665.1, NP_001008916.1, NP_001008920.2	Rattus norvegicus	NP_001008920.2
NP_001009518.2, NP_001008970.1	Rattus norvegicus	NP_001008970.1
XP_038963383.1, NP_001009494.2	Rattus norvegicus	NP_001009494.2
XP_038964788.1, NP_001009497.1	Rattus norvegicus	NP_001009497.1
NP_001009501.1, NP_001012767.1	Rattus norvegicus	NP_001009501.1
NP_001009528.1, NP_001009530.1, XP_038964991.1	Rattus norvegicus	NP_001009528.1
NP_783175.1, NP_783176.2, NP_783181.2, NP_001009975.1	Rattus norvegicus	NP_001009975.1
NP_001011997.1, NP_113801.1	Rattus norvegicus	NP_113801.1
NP_001395897.1, NP_620257.1, NP_001012232.1	Rattus norvegicus	NP_620257.1
XP_038954347.1, NP_001013081.2, XP_063132204.1	Rattus norvegicus	NP_001013081.2
XP_063141472.1, NP_001013102.1	Rattus norvegicus	XP_063141472.1
NP_001013220.1, NP_001070824.1	Rattus norvegicus	NP_001013220.1
NP_001013250.1, NP_001025075.2	Rattus norvegicus	NP_001013250.1
XP_038956380.1, NP_001014244.2	Rattus norvegicus	XP_038956380.1
NP_001032235.1, NP_001032230.1, NP_001014773.1, NP_001032233.1, NP_001032216.1, NP_001032231.1, NP_001032212.1, NP_001032414.1, NP_001032217.1	Rattus norvegicus	NP_001032212.1
NP_001014780.1, NP_001014779.1	Rattus norvegicus	NP_001014780.1
XP_063124900.1, NP_001017481.1	Rattus norvegicus	XP_063124900.1
NP_058710.2, NP_803175.1, NP_001019475.1	Rattus norvegicus	NP_803175.1
XP_063133770.1, NP_001020055.1	Rattus norvegicus	NP_001020055.1
NP_036657.1, NP_001020850.2	Rattus norvegicus	NP_036657.1
XP_038940288.2, NP_001020926.1	Rattus norvegicus	NP_001020926.1
NP_062134.1, NP_001025079.1	Rattus norvegicus	NP_062134.1
NP_001258423.1, NP_001025089.1	Rattus norvegicus	NP_001258423.1
NP_001406030.1, NP_001032282.1	Rattus norvegicus	NP_001406030.1
NP_958826.1, NP_958827.1, NP_001034638.1	Rattus norvegicus	NP_958826.1
NP_001035004.2, NP_001395943.1	Rattus norvegicus	NP_001035004.2
NP_058961.4, NP_001036084.1	Rattus norvegicus	NP_058961.4
NP_001011995.1, NP_001037735.1, NP_071634.1	Rattus norvegicus	NP_071634.1
NP_001101511.1, NP_001073177.1	Rattus norvegicus	NP_001101511.1
XP_038956261.1, NP_001073365.1	Rattus norvegicus	NP_001073365.1
NP_569086.1, NP_001078873.1	Rattus norvegicus	NP_569086.1
NP_001092936.1, NP_001092950.1	Rattus norvegicus	NP_001092936.1
NP_001093119.1, NP_001092963.1	Rattus norvegicus	NP_001092963.1
NP_001092977.1, NP_001092980.1, NP_001092985.1	Rattus norvegicus	NP_001092977.1
NP_001414391.1, NP_001093955.1, NP_062198.1	Rattus norvegicus	NP_062198.1
NP_001177298.1, NP_001094469.1, XP_038954018.1	Rattus norvegicus	XP_038954018.1
XP_038936556.1, XP_038936319.1, NP_001414419.1, NP_001094477.1	Rattus norvegicus	NP_001414419.1
NP_001096829.2, NP_579829.3, XP_006255234.2, NP_113753.2	Rattus norvegicus	NP_579829.3
XP_063126921.1, NP_001100580.1	Rattus norvegicus	XP_063126921.1
NP_001100675.1, XP_038948191.1	Rattus norvegicus	NP_001100675.1
XP_063143011.1, NP_001102096.1	Rattus norvegicus	NP_001102096.1
NP_058710.2, NP_803175.1, XP_038958007.1, NP_001102662.1, NP_065415.2, NP_112416.1	Rattus norvegicus	NP_112416.1
XP_063142968.1, XP_063142971.1, NP_113749.2, NP_001102688.2	Rattus norvegicus	NP_001102688.2
XP_003751068.2, XP_002727899.3, NP_001395738.1, NP_001102795.1	Rattus norvegicus	XP_002727899.3
NP_775146.1, NP_001102830.1	Rattus norvegicus	NP_775146.1
NP_001389069.1, NP_001103025.1	Rattus norvegicus	NP_001103025.1
XP_063135685.1, NP_001103065.1	Rattus norvegicus	XP_063135685.1
NP_001104597.1, NP_001103111.1	Rattus norvegicus	NP_001103111.1
NP_264077.1, XP_063122697.1, NP_775411.1, NP_001103345.1	Rattus norvegicus	NP_775411.1
NP_001103354.1, XP_063119084.1	Rattus norvegicus	NP_001103354.1
NP_001103613.1, NP_001103614.1	Rattus norvegicus	NP_001103613.1
NP_001106694.1, NP_001396284.1, NP_150237.1, NP_942071.2, NP_001104739.1	Rattus norvegicus	NP_001104739.1
NP_001395766.1, NP_001108074.2	Rattus norvegicus	NP_001108074.2
NP_775122.2, NP_001395689.1, NP_001108075.1	Rattus norvegicus	NP_001108075.1
XP_038951158.1, NP_001108512.1	Rattus norvegicus	NP_001108512.1
XP_038938647.1, NP_001119757.1, XP_008764922.2	Rattus norvegicus	XP_008764922.2
XP_225128.9, NP_001121688.1	Rattus norvegicus	NP_001121688.1
NP_001128019.1, NP_788269.1, XP_038955096.1	Rattus norvegicus	NP_788269.1
NP_001093955.1, NP_001128630.1, NP_062198.1, NP_001128629.1	Rattus norvegicus	NP_062198.1
XP_017444409.1, NP_001128645.1	Rattus norvegicus	NP_001128645.1
XP_008757425.1, NP_001129140.1	Rattus norvegicus	XP_008757425.1
XP_006254252.1, NP_001129216.1	Rattus norvegicus	NP_001129216.1
NP_446295.2, NP_001129464.1	Rattus norvegicus	NP_001129464.1
NP_620181.1, NP_001131036.1	Rattus norvegicus	NP_620181.1
NP_001139227.2, XP_063126103.1	Rattus norvegicus	XP_063126103.1
NP_001158129.3, NP_001158128.1	Rattus norvegicus	NP_001158129.3
XP_063135084.1, NP_001159823.1	Rattus norvegicus	XP_063135084.1
XP_063135408.1, XP_063135416.1, NP_001159826.1	Rattus norvegicus	XP_063135408.1
NP_001397192.1, XP_063135459.1, NP_001159875.1	Rattus norvegicus	NP_001159875.1
NP_001160149.1, NP_775458.1	Rattus norvegicus	NP_001160149.1
NP_001161026.1, XP_038956416.1	Rattus norvegicus	NP_001161026.1
NP_001161756.1, XP_002727889.3	Rattus norvegicus	NP_001161756.1
XP_006247801.2, NP_001161757.1, XP_577143.3	Rattus norvegicus	NP_001161757.1
XP_006236880.1, NP_001166920.1	Rattus norvegicus	NP_001166920.1
NP_001178605.1, XP_003751392.1	Rattus norvegicus	NP_001178605.1
NP_775147.1, NP_001178915.1, XP_038935973.1	Rattus norvegicus	NP_001178915.1
XP_038952179.1, NP_001178937.1	Rattus norvegicus	NP_001178937.1
NP_001381300.1, NP_001258122.1, NP_001304110.1	Rattus norvegicus	NP_001304110.1
XP_063144647.1, NP_001258147.1, NP_001395994.1	Rattus norvegicus	NP_001258147.1
NP_001389091.1, NP_001258233.1	Rattus norvegicus	NP_001389091.1
NP_036725.2, NP_001258244.1	Rattus norvegicus	NP_036725.2
NP_001302422.1, NP_001395796.1	Rattus norvegicus	NP_001302422.1
NP_001316821.1, NP_061999.2	Rattus norvegicus	NP_061999.2
NP_001316825.1, NP_114177.2, NP_997711.1	Rattus norvegicus	NP_114177.2
NP_596919.1, NP_001316829.1	Rattus norvegicus	NP_001316829.1
NP_001376551.1, XP_063135356.1	Rattus norvegicus	NP_001376551.1
XP_001062063.4, XP_063127844.1, NP_001381321.1	Rattus norvegicus	XP_001062063.4
XP_006252791.2, XP_006252790.1, XP_063131881.1, NP_001381727.1, XP_008769385.2	Rattus norvegicus	XP_006252790.1
NP_001382662.1, XP_006249702.1	Rattus norvegicus	XP_006249702.1
NP_001389513.1, NP_001395768.1, NP_001389524.1, XP_038959262.1, NP_001388820.1, NP_001388815.1	Rattus norvegicus	XP_038959262.1
XP_038967485.1, XP_038967486.1, XP_038967487.1, NP_001388886.1	Rattus norvegicus	XP_038967486.1
NP_001389002.1, XP_038959277.1, XP_038959278.1, NP_113690.2	Rattus norvegicus	NP_001389002.1
XP_038945930.1, NP_001389246.1, XP_038945923.1	Rattus norvegicus	NP_001389246.1
XP_063124246.1, NP_001389304.1	Rattus norvegicus	XP_063124246.1
NP_598231.4, NP_001389400.1	Rattus norvegicus	NP_598231.4
NP_001389415.1, NP_113957.2	Rattus norvegicus	NP_113957.2
NP_001389513.1, XP_038959262.1	Rattus norvegicus	XP_038959262.1
NP_001395050.1, NP_001395049.1	Rattus norvegicus	NP_001395049.1
NP_001395571.1, NP_001395588.1	Rattus norvegicus	NP_001395571.1
NP_001395573.1, XP_038943770.2, XP_008766430.1, XP_001055917.1	Rattus norvegicus	NP_001395573.1
NP_001395599.1, NP_001395941.1	Rattus norvegicus	NP_001395941.1
NP_001395897.1, NP_001395898.1, NP_001395600.1, NP_620257.1, NP_001012232.1	Rattus norvegicus	NP_001395600.1
XP_225137.5, NP_001395605.1	Rattus norvegicus	NP_001395605.1
XP_063133017.1, NP_001395612.1	Rattus norvegicus	XP_063133017.1
XP_038944838.1, NP_001395711.1	Rattus norvegicus	NP_001395711.1
NP_001395728.1, NP_001395726.1, NP_001395723.1	Rattus norvegicus	NP_001395723.1
NP_001395739.1, NP_001403323.1	Rattus norvegicus	NP_001403323.1
XP_038966864.1, NP_001395740.1	Rattus norvegicus	XP_038966864.1
NP_001396331.1, NP_001395778.1	Rattus norvegicus	NP_001395778.1
NP_001395783.1, XP_038964442.1	Rattus norvegicus	NP_001395783.1
XP_063136466.1, NP_001395827.1	Rattus norvegicus	XP_063136466.1
XP_063132517.1, NP_001395861.1	Rattus norvegicus	NP_001395861.1
NP_001396026.1, NP_001395862.1	Rattus norvegicus	NP_001395862.1
NP_001396019.1, NP_072173.2	Rattus norvegicus	NP_001396019.1
XP_063122334.1, NP_001396071.1	Rattus norvegicus	NP_001396071.1
XP_038952475.1, NP_001396078.1, XP_003749122.1	Rattus norvegicus	NP_001396078.1
XP_006248171.2, NP_001396145.1, NP_062043.2	Rattus norvegicus	NP_062043.2
XP_006234555.1, NP_001396394.1	Rattus norvegicus	NP_001396394.1
NP_001403645.1, NP_877970.1	Rattus norvegicus	NP_001403645.1
NP_001406533.1, NP_071595.2	Rattus norvegicus	NP_001406533.1
NP_001406644.1, XP_006236910.1	Rattus norvegicus	NP_001406644.1
NP_001406829.1, XP_038964512.2, XP_063142890.1	Rattus norvegicus	XP_038964512.2
NP_001406953.1, NP_036669.3	Rattus norvegicus	NP_001406953.1
NP_036637.1, NP_074039.1	Rattus norvegicus	NP_036637.1
NP_036670.2, NP_861545.1	Rattus norvegicus	NP_036670.2
XP_017448472.2, NP_036767.1, XP_003749780.1	Rattus norvegicus	XP_003749780.1
NP_036809.1, XP_038942515.1	Rattus norvegicus	XP_038942515.1
NP_036824.1, NP_036825.1	Rattus norvegicus	NP_036824.1
NP_612524.1, NP_775116.1, NP_036862.2, NP_695225.1, NP_775426.1	Rattus norvegicus	NP_695225.1
NP_037299.1, NP_062227.2	Rattus norvegicus	NP_062227.2
NP_058760.2, XP_038941184.1	Rattus norvegicus	NP_058760.2
NP_058807.1, NP_110464.2	Rattus norvegicus	NP_058807.1
